file_name,s3_key,file_format,file_size_bytes,last_modified,file_url
202602-citibike-tripdata.zip,202602-citibike-tripdata.zip,zip,237639864,2026-03-04T20:26:39.000Z,https://s3.amazonaws.com/tripdata/202602-citibike-tripdata.zip
202603-citibike-tripdata.zip,202603-citibike-tripdata.zip,zip,574841304,2026-04-03T19:07:03.000Z,https://s3.amazonaws.com/tripdata/202603-citibike-tripdata.zip
202604-citibike-tripdata.zip,202604-citibike-tripdata.zip,zip,164592563,2026-05-04T19:04:39.000Z,https://s3.amazonaws.com/tripdata/202604-citibike-tripdata.zip
JC-201509-citibike-tripdata.csv.zip,JC-201509-citibike-tripdata.csv.zip,zip,127657,2017-04-06T21:01:34.000Z,https://s3.amazonaws.com/tripdata/JC-201509-citibike-tripdata.csv.zip
JC-201510-citibike-tripdata.csv.zip,JC-201510-citibike-tripdata.csv.zip,zip,366062,2017-04-06T21:01:35.000Z,https://s3.amazonaws.com/tripdata/JC-201510-citibike-tripdata.csv.zip
JC-201511-citibike-tripdata.csv.zip,JC-201511-citibike-tripdata.csv.zip,zip,288054,2017-04-06T21:01:37.000Z,https://s3.amazonaws.com/tripdata/JC-201511-citibike-tripdata.csv.zip
JC-201512-citibike-tripdata.csv.zip,JC-201512-citibike-tripdata.csv.zip,zip,227741,2017-04-06T21:01:38.000Z,https://s3.amazonaws.com/tripdata/JC-201512-citibike-tripdata.csv.zip
JC-201601-citibike-tripdata.csv.zip,JC-201601-citibike-tripdata.csv.zip,zip,144314,2017-04-06T21:01:38.000Z,https://s3.amazonaws.com/tripdata/JC-201601-citibike-tripdata.csv.zip
JC-201602-citibike-tripdata.csv.zip,JC-201602-citibike-tripdata.csv.zip,zip,159787,2017-04-06T21:01:38.000Z,https://s3.amazonaws.com/tripdata/JC-201602-citibike-tripdata.csv.zip
JC-201603-citibike-tripdata.csv.zip,JC-201603-citibike-tripdata.csv.zip,zip,259577,2017-04-06T21:01:39.000Z,https://s3.amazonaws.com/tripdata/JC-201603-citibike-tripdata.csv.zip
