bundle_name,structure_type,csv_file_count,nested_zip_count,needs_nested_extract
JC-202203-citibike-tripdata.csv,csv_present,1,0,False
JC-202204-citibike-tripdata.csv,csv_present,1,0,False
JC-202205-citibike-tripdata.csv,csv_present,1,0,False
JC-202206-citibike-tripdata.csv,csv_present,1,0,False
JC-202207-citbike-tripdata.csv,csv_present,1,0,False
JC-202208-citibike-tripdata.csv,csv_present,1,0,False
JC-202209-citibike-tripdata.csv,csv_present,1,0,False
JC-202210-citibike-tripdata.csv,csv_present,1,0,False
JC-202211-citibike-tripdata.csv,csv_present,1,0,False
JC-202212-citibike-tripdata.csv,csv_present,1,0,False
JC-202301-citibike-tripdata.csv,csv_present,1,0,False
JC-202302-citibike-tripdata.csv,csv_present,1,0,False
JC-202303-citibike-tripdata.csv,csv_present,1,0,False
JC-202304-citibike-tripdata.csv,csv_present,1,0,False
JC-202305-citibike-tripdata.csv,csv_present,1,0,False
JC-202306-citibike-tripdata.csv,csv_present,1,0,False
JC-202307-citibike-tripdata.csv,csv_present,1,0,False
JC-202308-citibike-tripdata.csv,csv_present,1,0,False
JC-202309-citibike-tripdata.csv,csv_present,1,0,False
JC-202310-citibike-tripdata.csv,csv_present,1,0,False
JC-202311-citibike-tripdata.csv,csv_present,1,0,False
JC-202312-citibike-tripdata.csv,csv_present,1,0,False
JC-202401-citibike-tripdata.csv,csv_present,1,0,False
JC-202402-citibike-tripdata.csv,csv_present,1,0,False
JC-202403-citibike-tripdata.csv,csv_present,1,0,False
JC-202404-citibike-tripdata.csv,csv_present,1,0,False
JC-202405-citibike-tripdata.csv,csv_present,1,0,False
JC-202406-citibike-tripdata.csv,csv_present,1,0,False
JC-202407-citibike-tripdata.csv,csv_present,1,0,False
JC-202408-citibike-tripdata.csv,csv_present,1,0,False
JC-202409-citibike-tripdata.csv,csv_present,1,0,False
JC-202410-citibike-tripdata.csv,csv_present,1,0,False
JC-202411-citibike-tripdata.csv,csv_present,1,0,False
JC-202412-citibike-tripdata.csv,csv_present,1,0,False
JC-202501-citibike-tripdata.csv,csv_present,1,0,False
JC-202502-citibike-tripdata.csv,csv_present,1,0,False
JC-202503-citibike-tripdata.csv,csv_present,1,0,False
JC-202504-citibike-tripdata.csv,csv_present,1,0,False
JC-202505-citibike-tripdata.csv,csv_present,1,0,False
JC-202506-citibike-tripdata.csv,csv_present,1,0,False
JC-202507-citibike-tripdata.csv,csv_present,1,0,False
JC-202508-citibike-tripdata.csv,csv_present,1,0,False
JC-202509-citibike-tripdata.csv,csv_present,1,0,False
JC-202510-citibike-tripdata,csv_present,1,0,False
JC-202511-citibike-tripdata.csv,csv_present,1,0,False
JC-202512-citibike-tripdata.csv,csv_present,1,0,False
JC-202601-citibike-tripdata,csv_present,1,0,False
JC-202602-citibike-tripdata.csv,csv_present,1,0,False
JC-202603-citibike-tripdata.csv,csv_present,1,0,False
JC-202604-citibike-tripdata,csv_present,1,0,False
